v1,v2
personal,Guai... Ãœ shd haf seen him when he's naughty... Ãœ so free today? Can go jogging...
personal,"Wishing you and your family Merry \X\"" mas and HAPPY NEW Year in advance.."""
personal,Ok going to sleep. Hope i can meet her.
personal,You sure your neighbors didnt pick it up
personal,U too...
personal,Its a part of checking IQ
personal,Did u download the fring app?
personal,I re-met alex nichols from middle school and it turns out he's dealing!
personal,Rofl. Its true to its name
personal,cool. We will have fun practicing making babies!
personal,Ok...
personal,Yes. that will be fine. Love you. Be safe.
business,"Do Not Buy: Inflates like a charm, then deflates under the weight of a child within 3-6 hours, I should have gone with my gut and purchased another Aerobed because the one I already have (queen) has worked for > 7 years."
personal,Okie but i scared u say i fat... Then u dun wan me already...
personal,How i noe... Did Ã_ specify da domain as nusstu... Ãœ still in sch...
personal,"sure, but make sure he knows we ain't smokin yet"
personal,Yes.he have good crickiting mind
personal,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx
personal,Oops I was in the shower when u called. Hey a parking garage collapsed at university hospital. See I'm not crazy. Stuff like that DOES happen.
personal,Hey mr  and I are going to the sea view and having a couple of gays I mean games! Give me a bell when ya finish 
personal,I've sent Ã_ my part..
personal,Ok. Every night take a warm bath drink a cup of milk and you'll see a work of magic. You still need to loose weight. Just so that you know
personal,Lara said she can loan me  &lt;#&gt; .
personal,"Faith makes things possible,Hope makes things work,Love makes things beautiful,May you have all three this Christmas!Merry Christmas!"
personal,"He has lots of used ones babe, but the model doesn't help. Youi have to bring it over and he'll match it up"
personal,"Sometimes we put walls around our hearts,not just to be safe from getting hurt.. But to find out who cares enough to break the walls &amp; get closer.. GOODNOON:)"
personal,K...k:)why cant you come here and search job:)
personal,Shall I bring us a bottle of wine to keep us amused? Only joking! Iâ€˜ll bring one anyway
personal,"My sister in law, hope you are having a great month. Just saying hey. Abiola"
personal,"We have sent JD for Customer Service cum Accounts Executive to ur mail id, For details contact us"
personal,No sir. That's why i had an 8-hr trip on the bus last week. Have another audition next wednesday but i think i might drive this time.
personal,Not yet chikku..wat abt u?
personal,"Sorry, I'll call later"
personal,"Uh, heads up we don't have THAT much left"
personal,She's fine. Good to hear from you. How are you my dear? Happy new year oh.
personal,"I'll text carlos and let you know, hang on"
personal,What's a feathery bowa? Is that something guys have that I don't know about?
personal,Hi msg me:)i'm in office..
personal,How abt making some of the pics bigger?
personal,Who u talking about?
personal,"No dude, its not fake..my frnds got money, thts y i'm reffering u..if u member wit my mail link, u vl be credited  &lt;#&gt; rs and il be getiing  &lt;#&gt; rs..i can draw my acc wen it is  &lt;#&gt; rs.."
business,"Not worth the money: What a let down. I was so excited to get this because of the reviews, but when I tried it, it did nothing. First, it is very heavy and hard to hold (if you are using it by yourself). Second, it hurts your clitoris. It is very sharp on the ears, that's the part that goes on you clit. I'm almost temped to cut them off. Third and forth, it smells and it is very loud.I've tried it about 4 times, trying to get used to it. My husband has tried to use it on me too. No luck at all. This is not worth the money."
personal,K..k...from tomorrow onwards started ah?
personal,Oh... Kay... On sat right?
personal,"Got hella gas money, want to go on a grand nature adventure with galileo in a little bit?"
personal,U R THE MOST BEAUTIFUL GIRL IVE EVER SEEN. U R MY BABY COME AND C ME IN THE COMMON ROOM
personal,"Good afternon, my love. How are today? I hope your good and maybe have some interviews. I wake and miss you babe. A passionate kiss from across the sea"
personal,"Sir, i am waiting for your call, once free please call me."
personal,Lol ... I really need to remember to eat when I'm drinking but I do appreciate you keeping me company that night babe *smiles*
personal,Yup i thk so until e shop closes lor.
business,"Plain Putrid: This book is so obscene in some parts, and its not even written by Naomi Campbell, but some filthy man. Dont pick up this book if you want your brain to be burnt away by the promiscious literary flop of some freak."
personal,When you came to hostel.
personal,I accidentally brought em home in the box
business,Awesome: This movie was awesome! The picture and sound quality were top notch as well as the bonus content. Definitely worth every cent.
personal,K then 2marrow are you coming to class.
personal,Hey cutie. How goes it? Here in WALES its kinda ok. There is like hills and shit but i still avent killed myself. 
business,"Boring ...: I bought the book because I read the review and it look interesting and funny. But after the first pages, I knew that this was a mistake. Is very repetitive and some of the content really ridiculous for this age and time."
personal,I anything lor...
personal,Will you be here for food
business,"A written masterpiece: I first read this book in 1984/85 while in high school and I have bought copies for several friends in the last 15 years. I plan on giving this book as a gift to everyone for Xmas with a basket of white and yellow candles. I read this book at least 2 times a year for inspiration and guidance. Next to the Bible, this book is a masterpiece unparalleled."
personal,I have many dependents
business,"one more positive note: Don't know if anyone else has addresed this. I have been building my barn shop for 7 years now. The book covers many of my thoughts and concerns. Would have wanted this sooner than later. Points raised for consideration. Noise and sound. I put in some wood walls, painted white and sealed against moisture, but I fussed with that or drywall. I considered my own sound issues and went with wood. But after reading some of the author's comments I will be spending extra time for fire protection and sound absorption when I do other parts of the shop. Not for me alone, but for my nieghbors as well. Good book to read before, during or contemplating a shop. Hey, we get to find out about how the masters of wood roughed it as well."
personal,"Haha... Sounds crazy, dunno can tahan anot..."
personal,Just nw i came to hme da..
personal,"I'm eatin now lor, but goin back to work soon... E mountain deer show huh... I watch b4 liao, very nice..."
personal,If u dun drive then how i go 2 sch.
business,"Not a real Rammstein album.: Bootleg collection of b-sides, remixes, and singles. Really, why even bother?"
business,"WOW!: This book really bothers me. If you are a parent trying to deal with the daily struggles of having a child with a disability, do not read this book. It does not offer any advice for parents, just helps fuel negativitiy. Please do not put yourself through reading this book. If you are still in the grieving stage, this book will not help you. As parents, please try surrounding yourself with positives. Children with disabilities can bring such joy to your life. They can help you learn, help you become more empathetic, help you become stronger, and bring wonderful caring people into your life. Please remember those things when trying to get through this time in your life. Do not waste your time listening to a families stories of frustration, anger, sadness, and embarrassment instead surround yourself with positives."
personal,"And how you will do that, princess? :)"
personal,Want to send me a virtual hug?... I need one
personal,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.
business,Amazing...: love it...very touch.it's to bad that in the dvd description doesn't mention no subtitles
personal,"Ha ha nan yalrigu heltini..Iyo kothi chikku, u shared many things wit me..so far i didn't told any body and even uttered a word abt u.. If ur trusting me so much how can i tell these to others.. Plz nxt time dont use those words to me..ok, chikku:-);-)B-)"
personal,I think steyn surely get one wicket:)
personal,The whole car appreciated the last two! Dad and are having a map reading semi argument but apart from that things are going ok. P.
personal,Yeah we do totes. When u wanna?
business,"Is loosing air with ALMOST NO USE!!: I bought this airbed on October 2009, I only used it 3 times and now is loosing air!! How can it loose air like that with only 3 uses?? At the beginning it seams good because is comfortable and tall, but now I can't use it anymore unless I want fill it with air at the middle of the night."
